sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,152,11,141,50.26,40.91,50.99,80.0,0.8995,136.72,15.28,0,0,0,0,0,0,0,0,0,0,35,35,0,0,94,94
2.0,489,275,214,137.18,114.25,166.64,1026.0,0.7371,497.16,143.84,0,0,0,0,0,0,0,0,0,0,54,54,0,0,114,114
3.01,666,377,289,303.06,247.14,376.02,2000.0,0.5845,886.44,420.56,0,0,0,0,0,0,0,0,0,0,47,47,0,0,114,114
4.01,399,218,181,392.16,256.33,555.75,2961.0,0.5866,1120.48,585.52,0,0,0,0,0,0,0,0,0,0,40,40,0,0,115,115
5.01,503,286,217,511.03,377.94,686.45,3940.0,0.5665,1405.4199,803.5801,0,0,0,0,0,0,0,0,0,0,32,32,0,0,106,106
6.01,570,329,241,437.02,299.33,624.98,3195.0,0.6326,1765.9799,1013.0201,0,0,0,0,0,0,0,0,0,0,31,31,0,0,112,112
7.01,572,323,249,407.2,338.95,495.74,3950.0,0.6835,2156.9199,1194.0801,0,0,0,0,0,0,0,0,0,0,40,40,0,0,104,104
8.01,582,334,248,539.71,368.89,769.76,5330.5,0.653,2536.9799,1396.0201,0,0,0,0,0,0,0,0,0,0,39,39,0,0,92,92
9.01,569,326,243,533.06,342.94,788.11,3592.0,0.6012,2879.0599,1622.9401,0,0,0,0,0,0,0,0,0,0,39,39,0,0,81,81
10.01,603,350,253,648.59,496.29,859.29,3930.0,0.5846,3231.5999,1873.4001,0,0,0,0,0,0,0,0,0,0,33,33,0,0,64,64
11.01,527,296,231,416.87,289.22,580.43,2827.0,0.6408,3569.2798,2062.7202,0,0,0,0,0,0,0,0,0,0,34,34,0,0,65,65
12.01,506,281,225,294.47,167.44,453.11,1840.0,0.6711,3908.8398,2229.1602,0,0,0,0,0,0,0,0,0,0,39,39,0,0,75,75
13.01,581,338,243,413.27,352.54,497.74,2950.0,0.6473,4284.9398,2434.0602,0,0,0,0,0,0,0,0,0,0,48,48,0,0,78,78
14.01,521,307,214,322.3,222.48,465.51,1980.0,0.6524,4624.8398,2615.1602,0,0,0,0,0,0,0,0,0,0,38,38,0,0,76,76
15.01,636,362,274,372.08,294.72,474.27,2032.5,0.6451,5035.0998,2840.9002,0,0,0,0,0,0,0,0,0,0,41,41,0,0,75,75
16.01,450,265,185,357.8,197.36,587.62,2960.0,0.6996,5349.9198,2976.0802,0,0,0,0,0,0,0,0,0,0,44,44,0,0,78,78
17.01,443,243,200,756.95,629.59,911.7,3618.0,0.5387,5588.5798,3180.4202,0,0,0,0,0,0,0,0,0,0,40,40,0,0,76,76
18.0,557,323,234,370.93,252.88,533.89,2980.0,0.6431,5946.7797,3379.2203,0,0,0,0,0,0,0,0,0,0,36,36,0,0,69,69
19.0,498,304,194,319.16,251.28,425.52,2011.5,0.6742,6282.5397,3541.4603,0,0,0,0,0,0,0,0,0,0,38,38,0,0,61,61
20.0,491,281,210,357.31,205.73,560.14,2045.0,0.7005,6626.4997,3688.5003,0,0,0,0,0,0,0,0,0,0,38,38,0,0,57,57
21.0,518,305,213,299.13,179.15,470.94,1876.5,0.6813,6979.3997,3853.6003,0,0,0,0,0,0,0,0,0,0,28,28,0,0,73,73
22.0,491,276,215,489.67,250.83,796.28,3630.0,0.644,7295.5997,4028.4003,0,0,0,0,0,0,0,0,0,0,23,23,0,0,68,68
23.0,446,250,196,462.31,378.2,569.59,3580.0,0.6624,7591.0397,4178.9603,0,0,0,0,0,0,0,0,0,0,29,29,0,0,70,70
24.0,562,336,226,293.52,245.33,365.18,1970.0,0.7081,7989.0197,4342.9803,0,0,0,0,0,0,0,0,0,0,44,44,0,0,71,71
25.0,443,238,205,527.7,419.29,653.56,3523.0,0.567,8240.2196,4534.7804,0,0,0,0,0,0,0,0,0,0,44,44,0,0,70,70
26.0,530,298,232,474.68,402.82,566.98,2040.0,0.6171,8567.2796,4737.7204,0,0,0,0,0,0,0,0,0,0,38,38,0,0,78,78
27.0,550,321,229,412.85,249.03,642.49,2981.0,0.6307,8914.1796,4940.8204,0,0,0,0,0,0,0,0,0,0,41,41,0,0,69,69
28.0,510,284,226,504.18,293.94,768.36,3595.5,0.6053,9222.8796,5142.1204,0,0,0,0,0,0,0,0,0,0,35,35,0,0,71,71
29.0,528,301,227,294.39,161.59,470.48,1924.5,0.7088,9597.1396,5295.8604,0,0,0,0,0,0,0,0,0,0,38,38,0,0,70,70
30.0,539,313,226,334.23,282.62,405.71,2021.0,0.6383,9941.1996,5490.8004,0,0,0,0,0,0,0,0,0,0,35,35,0,0,78,78
31.0,501,286,215,393.39,252.31,581.07,2980.0,0.6702,10276.9796,5656.0204,0,0,0,0,0,0,0,0,0,0,44,44,0,0,83,83
32.0,538,302,236,429.24,343.97,538.35,2021.5,0.61,10605.1595,5865.8405,0,0,0,0,0,0,0,0,0,0,41,41,0,0,78,78
33.0,593,344,249,385.06,231.89,596.67,2714.0,0.6709,11002.9795,6061.0205,0,0,0,0,0,0,0,0,0,0,35,35,0,0,84,84
