sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
46.01,2,1,1,545.0,550.0,540.0,549.5,-0.09,231.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.01,29,15,14,84.14,74.0,95.0,540.0,0.8317,255.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
48.01,11,5,6,449.09,444.0,453.33,1045.0,0.1182,256.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49.01,1,0,1,540.0,,540.0,540.0,-0.08,256.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.01,0,0,0,,,,,,256.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.01,3,1,2,26.67,40.0,20.0,39.0,0.9467,259.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52.01,15,7,8,162.67,177.14,150.0,550.0,0.6747,269.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
53.01,13,4,9,185.38,167.5,193.33,544.0,0.6292,277.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
54.01,15,8,7,236.67,230.0,244.29,553.0,0.5267,285.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55.01,9,4,5,84.44,35.0,124.0,344.0,0.8311,293.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
56.01,7,3,4,251.43,213.33,280.0,547.0,0.4971,296.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57.01,16,6,10,123.13,121.67,124.0,542.5,0.7537,308.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
58.01,23,12,11,298.26,295.83,300.91,982.0,0.4096,318.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59.01,13,6,7,267.69,296.67,242.86,550.0,0.4646,324.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.01,0,0,0,,,,,,324.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
