sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,159,16,143,42.33,30.0,43.71,90.0,0.9153,145.54,13.46,0,0,0,0,0,0,0,0,0,0,125,125,0,0,15,15
2.0,500,285,215,98.84,90.88,109.4,110.0,0.8117,551.38,107.62,0,0,0,0,0,0,0,0,0,0,174,174,0,0,7,7
3.01,704,447,257,141.73,103.6,208.05,108.5,0.8028,1116.52,246.48,0,0,0,0,0,0,0,0,0,0,150,150,0,0,4,4
4.01,451,278,173,348.78,275.58,466.42,2940.0,0.6947,1429.8399,384.1601,0,0,0,0,0,0,0,0,0,0,125,125,0,0,3,3
5.01,538,340,198,319.68,226.65,479.44,3511.5,0.7637,1840.6999,511.3001,0,0,0,0,0,0,0,0,0,0,102,102,0,0,3,3
6.01,634,399,235,405.43,292.68,596.85,4487.0,0.752,2317.4799,668.5201,0,0,0,0,0,0,0,0,0,0,83,83,0,0,3,3
7.01,676,438,238,233.59,189.82,314.16,100.0,0.8323,2880.0999,781.9001,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0
8.01,672,437,235,542.47,470.5,676.3,6834.5,0.7602,3390.9398,943.0602,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0
9.01,583,381,202,237.68,204.41,300.45,90.0,0.8525,3887.9398,1029.0602,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0
10.01,631,416,215,328.86,313.97,357.67,100.0,0.8409,4418.5598,1129.4402,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0
11.01,605,397,208,49.95,60.76,29.33,80.0,0.9001,4963.1198,1189.8802,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0
12.01,596,387,209,390.76,363.77,440.72,92.5,0.8409,5464.3198,1284.6802,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0
13.01,603,392,211,49.07,59.49,29.72,80.0,0.9019,6008.1397,1343.8603,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
14.01,550,364,186,117.4,128.21,96.24,90.0,0.8904,6497.8797,1404.1203,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0
15.01,656,418,238,365.95,326.22,435.71,100.0,0.8543,7058.2997,1499.7003,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
16.01,522,345,177,48.43,58.41,28.98,90.0,0.9031,7529.7397,1550.2603,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
17.01,468,305,163,150.79,163.8,126.44,80.0,0.8911,7946.7797,1601.2203,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
18.0,591,385,206,50.36,60.73,30.97,90.0,0.8993,8478.2596,1660.7404,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
19.0,511,333,178,48.26,59.04,28.09,90.0,0.9035,8939.9396,1710.0604,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
20.0,558,366,192,258.62,272.32,232.5,80.0,0.8828,9432.5196,1775.4804,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
21.0,532,345,187,46.45,56.35,28.18,80.0,0.9071,9915.0996,1824.9004,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
22.0,547,355,192,47.59,57.83,28.65,80.0,0.9048,10410.0396,1876.9604,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
23.0,545,361,184,46.86,56.68,27.61,80.0,0.9063,10903.9595,1928.0405,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
24.0,587,375,212,51.02,62.05,31.51,90.0,0.898,11431.0595,1987.9405,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
25.0,470,307,163,46.7,56.42,28.4,80.0,0.9066,11857.1595,2031.8405,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
26.0,572,369,203,310.03,329.43,274.78,90.0,0.8817,12361.5195,2099.4805,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
27.0,621,408,213,49.95,60.32,30.09,90.0,0.9001,12920.4795,2161.5205,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
28.0,537,349,188,47.21,57.51,28.09,80.0,0.9056,13406.7794,2212.2206,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
29.0,575,372,203,49.86,60.03,31.23,80.0,0.9003,13924.4394,2269.5606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,561,364,197,48.31,58.6,29.29,80.0,0.9034,14431.2394,2323.7606,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
31.0,572,371,201,47.2,57.22,28.71,80.0,0.9056,14949.2394,2377.7606,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
32.0,587,388,199,47.79,57.89,28.09,80.0,0.9044,15480.1393,2433.8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,600,389,211,51.05,62.03,30.81,90.0,0.8979,16018.8793,2495.1207,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
34.0,560,367,193,48.48,58.75,28.96,90.0,0.903,16524.5793,2549.4207,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
35.0,527,338,189,46.39,55.86,29.47,80.0,0.9072,17002.6793,2598.3207,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
36.0,535,347,188,47.57,57.72,28.83,80.0,0.9049,17486.7793,2649.2207,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37.0,613,403,210,48.29,58.46,28.76,80.0,0.9034,18040.5792,2708.4208,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
38.0,519,334,185,46.32,56.56,27.84,80.0,0.9074,18511.4992,2756.5008,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39.0,581,379,202,49.5,60.0,29.8,90.0,0.901,19034.9792,2814.0208,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
40.0,502,327,175,44.98,54.46,27.26,80.0,0.91,19491.8192,2859.1808,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
41.0,556,361,195,47.59,57.73,28.82,80.0,0.9048,19994.8992,2912.1008,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
42.0,515,333,182,48.21,58.65,29.12,90.0,0.9036,20460.2392,2961.7608,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
43.0,557,371,186,50.38,60.92,29.35,90.0,0.8992,20961.1191,3017.8809,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
44.01,605,395,210,48.56,58.78,29.33,80.0,0.9029,21507.3591,3076.6409,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
45.01,468,305,163,45.88,55.77,27.36,80.0,0.9082,21932.4191,3119.5809,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
46.01,539,348,191,46.59,56.32,28.85,80.0,0.9068,22421.1991,3169.8009,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
47.01,628,409,219,50.81,61.2,31.42,90.0,0.8984,22985.379,3233.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.01,497,319,178,48.27,58.71,29.55,90.0,0.9035,23434.399,3281.601,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
49.01,555,363,192,49.64,59.97,30.1,90.0,0.9007,23934.299,3336.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.01,534,346,188,46.72,57.14,27.55,80.0,0.9066,24418.399,3386.601,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
51.01,551,354,197,48.64,58.7,30.56,80.0,0.9027,24915.799,3440.201,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
52.01,534,351,183,47.58,57.35,28.85,80.0,0.9048,25398.9789,3491.0211,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
53.01,611,397,214,48.77,59.17,29.49,90.0,0.9025,25950.3789,3550.6211,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
54.01,625,404,221,49.55,60.22,30.05,90.0,0.9009,26513.4389,3612.5611,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0
55.01,555,361,194,48.99,59.28,29.85,90.0,0.902,27014.0589,3666.9411,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
56.01,542,343,199,49.76,60.64,31.01,90.0,0.9005,27502.1189,3720.8811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.01,696,463,233,52.18,62.74,31.2,100.0,0.8956,28125.4788,3793.5212,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
58.01,588,383,205,49.93,60.81,29.61,90.0,0.9001,28654.7588,3852.2412,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59.01,582,373,209,48.75,58.79,30.81,90.0,0.9025,29180.0188,3908.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.01,513,335,178,49.4,60.6,28.31,90.0,0.9012,29642.3388,3959.6612,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
