sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
51.01,5,0,5,10079.98,,10079.98,12759.22,39,13,4,10,5,5,7,8,6,1,1,8,7,1,1,9
52.01,6,0,6,11888.0,,11888.0,21077.74,38,6,4,9,7,5,6,7,1,1,2,4,5,1,0,6
53.01,9,0,9,9844.33,,9844.33,11696.37,39,3,5,8,7,6,7,6,0,0,6,6,3,1,2,6
54.01,5,0,5,9168.33,,9168.33,15420.73,40,5,4,9,9,6,6,6,4,1,1,6,1,1,2,4
55.01,8,0,8,10055.37,,10055.37,20744.44,44,6,5,9,8,6,7,9,5,1,2,8,1,1,5,7
56.01,7,0,7,11686.47,,11686.47,20565.64,45,9,7,9,7,8,7,7,5,1,3,9,4,1,1,6
57.01,12,0,12,10085.05,,10085.05,17653.65,48,7,6,8,7,9,10,8,2,1,9,12,5,1,5,11
58.01,7,0,7,11806.81,,11806.81,16456.91,50,17,7,8,9,9,9,8,7,1,4,12,10,1,1,12
59.01,8,0,8,12270.2,,12270.2,16960.31,45,18,6,6,8,10,8,7,8,1,1,10,10,1,0,11
60.01,7,0,7,10181.91,,10181.91,16833.4,44,14,5,7,7,10,10,5,6,1,1,8,8,1,0,9
